epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9331,2.74198,5.85183,1.83237,2e-05,0.00427,0,0,2.55972,5.14393,1.7209,0.00013,0.00013,0.00013
2,45.1784,1.97972,4.34413,1.25881,0.00444,0.27889,0.01591,0.00451,2.30195,4.71977,1.51415,0.000268663,0.000268663,0.000268663
3,67.5663,1.83766,3.19585,1.2303,0.00266,0.3587,0.0795,0.01648,2.09752,4.34871,1.43437,0.000405941,0.000405941,0.000405941
4,89.9562,1.68738,2.58528,1.17687,0.00155,0.29785,0.08732,0.01886,2.17648,4.34484,1.60724,0.000541832,0.000541832,0.000541832
5,112.484,1.72618,2.24489,1.2002,0.00097,0.1997,0.12037,0.04018,2.36793,4.39839,1.94634,0.000676338,0.000676338,0.000676338
6,135.773,1.69468,2.02366,1.20038,0.84486,0.08303,0.40051,0.13785,2.06736,3.6788,1.70671,0.000809458,0.000809458,0.000809458
7,162.483,1.70842,1.86979,1.2055,0.89769,0.2922,0.54822,0.21477,1.98871,3.2393,1.65835,0.000941191,0.000941191,0.000941191
8,192.274,1.65956,1.79023,1.20426,0.78328,0.26351,0.4494,0.14148,2.10006,3.34853,1.68258,0.00096535,0.00096535,0.00096535
9,220.735,1.65752,1.7585,1.17463,0.78349,0.40979,0.54084,0.19747,2.03641,2.9875,1.61825,0.0009604,0.0009604,0.0009604
10,248.581,1.60041,1.60602,1.16176,0.49747,0.43856,0.50353,0.17946,2.1187,2.73835,1.66838,0.00095545,0.00095545,0.00095545
11,276.821,1.64569,1.59677,1.19822,0.56962,0.41689,0.57705,0.19909,2.19314,2.72516,1.71058,0.0009505,0.0009505,0.0009505
12,304.777,1.61943,1.51708,1.18747,0.71431,0.45794,0.54346,0.18677,2.14746,2.79448,1.74917,0.00094555,0.00094555,0.00094555
13,332.989,1.60443,1.34168,1.1508,0.70724,0.52701,0.61549,0.20177,2.30355,2.57343,1.85441,0.0009406,0.0009406,0.0009406
14,361.163,1.59639,1.39266,1.17948,0.77766,0.55777,0.61085,0.21065,2.2168,2.51857,1.80268,0.00093565,0.00093565,0.00093565
15,389.726,1.52383,1.2973,1.14784,0.73286,0.56759,0.61288,0.21513,2.15575,2.42828,1.81224,0.0009307,0.0009307,0.0009307
16,418.234,1.50334,1.26514,1.12571,0.78607,0.55293,0.69849,0.24083,2.14675,2.16937,1.84836,0.00092575,0.00092575,0.00092575
17,446.495,1.49818,1.18996,1.12404,0.7045,0.52872,0.61234,0.20358,2.30056,2.39973,1.91632,0.0009208,0.0009208,0.0009208
18,474.969,1.53757,1.20475,1.15995,0.74225,0.61501,0.67788,0.21988,2.19091,2.17987,1.82885,0.00091585,0.00091585,0.00091585
19,503.268,1.50181,1.19275,1.13912,0.70097,0.60326,0.64761,0.19905,2.28536,2.1164,1.91763,0.0009109,0.0009109,0.0009109
20,531.511,1.46055,1.14265,1.11591,0.6944,0.61042,0.66046,0.21896,2.27177,2.0864,1.92024,0.00090595,0.00090595,0.00090595
21,558.989,1.46996,1.1366,1.14721,0.70514,0.63603,0.66293,0.21737,2.24384,2.17072,1.85611,0.000901,0.000901,0.000901
22,586.698,1.43529,1.07442,1.10748,0.80754,0.60682,0.6616,0.21136,2.29306,2.05895,1.94662,0.00089605,0.00089605,0.00089605
23,614.647,1.47186,1.07534,1.13875,0.75728,0.62211,0.65918,0.20587,2.34046,2.0544,1.98105,0.0008911,0.0008911,0.0008911
24,643.326,1.38992,1.01761,1.07414,0.63793,0.60084,0.61423,0.20065,2.20121,2.14646,1.82977,0.00088615,0.00088615,0.00088615
25,671.661,1.40139,1.01099,1.10699,0.76796,0.57285,0.6601,0.23225,2.12371,2.06846,1.78133,0.0008812,0.0008812,0.0008812
26,699.489,1.43147,0.97622,1.12265,0.76069,0.57047,0.64622,0.21154,2.27689,2.19219,1.89428,0.00087625,0.00087625,0.00087625
27,727.115,1.42652,0.96492,1.10534,0.78761,0.63277,0.69467,0.22148,2.31379,1.95437,1.9833,0.0008713,0.0008713,0.0008713
